"mod","Estimate_elpd_loo","Estimate_p_loo","Estimate_looic","SE_elpd_loo","SE_p_loo","SE_looic"
"brm.none",-1821.24039106534,3.16616647598326,3642.48078213069,28.643656849944,0.259324943380342,57.2873136998879
"brm.habitat.slope",-1706.82861377322,6.03415993782373,3413.65722754644,29.3721112741029,0.459589415255529,58.7442225482058
"brm.habitat",-1703.83245748128,8.09571833406097,3407.66491496256,29.496723718569,0.538768645864078,58.993447437138
"brm.habitat.intercept",-1744.69570642585,6.18415820833572,3489.3914128517,28.8962510108596,0.390774140830458,57.7925020217192
"brm.diet.slope",-1740.79810153384,5.40488158921654,3481.59620306768,27.8006366792579,0.412818950890793,55.6012733585158
"brm.diet.intercept",-1755.01553733614,6.30896917226524,3510.03107467227,28.1334209347,0.507820727286529,56.2668418694
"brm.trophic",-1737.4014787267,7.27350318353008,3474.80295745339,28.0035433384722,0.448298968441631,56.0070866769445
"brm.diet.habitat",-1625.70622719527,13.3148692180309,3251.41245439054,27.9844965536604,0.768218692297801,55.9689931073209
"brm.diet.habitat.year",-1559.46123716961,14.7546405675874,3118.92247433922,27.7334816112201,0.858962614220895,55.4669632224403
"brm.diet.habitat.species",-1571.79999099573,26.0462880145013,3143.59998199146,29.7127413250304,2.27418960919464,59.4254826500609
"brm.diet.habitat.species.year",-1507.28560949974,28.7269479385803,3014.57121899948,29.1167446889412,2.24091691383232,58.2334893778824
